Item,Title,Rating,Price
1,100 Days of Code: The Complete Python Pro Bootcamp,4.7,₺849.99
2,The Complete Python Bootcamp From Zero to Hero in Python,4.6,₺699.99
3,Complete 2025 Python Bootcamp: Learn Python from Scratch,4.6,₺399.99
4,Python Mega Course: Build 20 Real-World Apps and AI Agents,4.6,"₺1,099.99"
5,Learn Python Programming - Beginner to Master,4.6,₺549.99
6,The Ultimate Python Bootcamp: Learn by Building 50 Projects,4.7,₺349.99
7,The Complete Python Developer,4.6,₺999.99
8,Python for Data Science and Machine Learning Bootcamp,4.5,"₺1,099.99"
9,Total Python: You Can Master Python Programming in 16 Days,4.6,₺899.99
10,Python 3: Fundamentals,4.7,₺649.99
11,Python for Absolute Beginners,4.5,₺749.99
12,Learn Python Programming Masterclass,4.6,₺999.99
13,Python for Everyone: Learn Python Programming from Scratch,3.1,₺299.99
14,Learn how to program in python once and for all,4.5,₺299.99
15,50 Days of Learning Advanced Programming in Python,4.5,₺399.99
16,Master Python Programming and Libraries: Python Full Course,0.0,₺399.99
17,Python for DevOps: Mastering Real-World Automation,4.7,₺299.99
18,The Ultimate Python 3 Course from A to Z + 50 hours!,0.0,₺399.99
19,PYTHON PROGRAMMING: Python from Zero to Data Analysis,5.0,₺399.99
20,Complete Python with AI Skills to Get Your Dream IT Job,4.7,₺299.99
21,The Complete Python Course | Learn Python by Doing in 2025,4.6,₺899.99
22,Python PCEP: Become Certified Entry-Level Python Programmer,4.6,₺849.99
23,One Week Python,4.7,₺649.99
24,The Ultimate Python Masterclass: Build 24 Python Projects,4.6,₺599.99
25,Complete Python With DSA Bootcamp + LEETCODE Exercises,4.5,₺599.99
26,Complete Python with AI Skills to Get Your Dream IT Job,4.7,₺299.99
27,Python 3: Deep Dive (Part 1 - Functional),4.8,₺649.99
28,Automate Everything with Python,4.5,₺899.99
29,Python: The Professional Guide For Beginners (2025 Edition),4.8,₺599.99
30,"Python - Complete Python, Django, Data Science and ML Guide",4.7,₺549.99
31,The Modern Python 3 Bootcamp,4.7,₺999.99
32,Python Bootcamp 2025: Basics to Advanced with Real Projects,4.3,₺269.99
33,The Modern Python 3 Bootcamp,4.7,₺999.99
34,[NEW] Python Programming for Beginners,4.8,₺399.99
35,The AI Engineer Course 2025: Complete AI Engineer Bootcamp,4.6,₺699.99
36,Complete Python Bootcamp For Everyone From Zero to Hero 2025,4.4,₺899.99
